,Exports_x,Imports_x,GDP_x,GDP Per Capita_x,Oil Production_x,Refined Petroleum Production_x,Exports_y,Imports_y,GDP_y,GDP Per Capita_y,Oil Production_y,Refined Petroleum Production_y,Net Migration,Urban Population,Obesity,Life Expectancy,Fertility,Internet,Infant Mortality,Area,Water Area,Population,Dependency Ratio,Unemployment,Literacy,Poverty,Population Growth,Military Expenditures,Health Expenditures,Education Expenditures,Industrial Growth,Electricity Production,Score
Exports_x,0.0,0.988250580634,0.97288771288,0.0,0.0,0.968168136278,1.0,0.988250580634,0.97288771288,0.0,0.0,0.968168136278,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.974161077764,0.941432713873
Imports_x,0.988250580634,0.0,0.994759074617,0.0,0.0,0.964393325562,0.988250580634,1.0,0.994759074617,0.0,0.0,0.964393325562,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.976892784876,0.909348585141
GDP_x,0.97288771288,0.994759074617,0.0,0.0,0.0,0.970159664193,0.97288771288,0.994759074617,1.0,0.0,0.0,0.970159664193,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.801214524741,0,0,0.981705933302,0.899612690108
GDP Per Capita_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Oil Production_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Refined Petroleum Production_x,0.968168136278,0.964393325562,0.970159664193,0.0,0.0,0.0,0.968168136278,0.964393325562,0.970159664193,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.848529515675,0.818025826433,0,0,0,0,0,0,0.0,0,0,0.997216486711,0.941059365973
Exports_y,1.0,0.988250580634,0.97288771288,0.0,0.0,0.968168136278,0.0,0.988250580634,0.97288771288,0.0,0.0,0.968168136278,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.974161077764,0.941432713873
Imports_y,0.988250580634,1.0,0.994759074617,0.0,0.0,0.964393325562,0.988250580634,0.0,0.994759074617,0.0,0.0,0.964393325562,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.976892784876,0.909348585141
GDP_y,0.97288771288,0.994759074617,1.0,0.0,0.0,0.970159664193,0.97288771288,0.994759074617,0.0,0.0,0.0,0.970159664193,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.801214524741,0,0,0.981705933302,0.899612690108
GDP Per Capita_y,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Oil Production_y,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Refined Petroleum Production_y,0.968168136278,0.964393325562,0.970159664193,0.0,0.0,1.0,0.968168136278,0.964393325562,0.970159664193,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.848529515675,0.818025826433,0,0,0,0,0,0,0.0,0,0,0.997216486711,0.941059365973
Net Migration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Urban Population,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.890771357677,0.836009732788,0,0.803113672879,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Obesity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.890771357677,0.0,0.825004510708,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Life Expectancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.836009732788,0.825004510708,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Fertility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Internet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.803113672879,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Infant Mortality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.952365444574,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Water Area,0.0,0.0,0.0,0.0,0.0,0.848529515675,0.0,0.0,0.0,0.0,0.0,0.848529515675,0,0.0,0.0,0.0,0,0.0,0,0.952365444574,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.825910934594,0.0
Population,0.0,0.0,0.0,0.0,0.0,0.818025826433,0.0,0.0,0.0,0.0,0.0,0.818025826433,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.827780212314,0.0
Dependency Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Unemployment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Literacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Poverty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Population Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Military Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Health Expenditures,0.0,0.0,0.801214524741,0.0,0.0,0.0,0.0,0.0,0.801214524741,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Education Expenditures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Industrial Growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
Electricity Production,0.974161077764,0.976892784876,0.981705933302,0.0,0.0,0.997216486711,0.974161077764,0.976892784876,0.981705933302,0.0,0.0,0.997216486711,0,0.0,0.0,0.0,0,0.0,0,0.0,0.825910934594,0.827780212314,0,0,0,0,0,0,0.0,0,0,0.0,0.930550470724
Score,0.941432713873,0.909348585141,0.899612690108,0.0,0.0,0.941059365973,0.941432713873,0.909348585141,0.899612690108,0.0,0.0,0.941059365973,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.930550470724,0.0
